date,transactions
3/9/2019,2698115
7/10/2019,2470586
10/8/2019,2325190
3/5/2020,2269023
3/6/2020,2517279
5/9/2020,2215076
10/6/2020,1471855
10/28/2020,1610372
11/1/2020,1703961
3/24/2021,1783656
5/27/2023,2175024
8/15/2023,1837121
2/23/2024,1859785
3/27/2024,1838513
3/13/2019,2222191
11/19/2019,2301489
6/18/2020,2061739
1/23/2021,2010897
3/9/2021,1699832
8/25/2022,2066351
10/15/2022,2230132
9/18/2023,1804612
11/19/2023,2016314
1/9/2024,1467410
2/27/2024,1639760
4/7/2024,1933998
12/14/2018,2466904
1/31/2019,1636567
5/24/2019,3088499
9/11/2019,2304368
3/25/2020,1456567
9/1/2020,1537590
7/18/2021,1972339
4/2/2023,1887080
1/19/2024,1699822
12/19/2018,2401352
12/23/2018,3027253
8/9/2019,2793658
11/22/2019,2874278
12/16/2019,2686443
11/2/2020,1689738
4/28/2021,1789253
9/12/2021,1984969
3/25/2022,2105032
6/16/2022,2201907
11/20/2023,2130727
7/24/2018,2024058
12/13/2018,2226829
1/10/2019,1893250
1/17/2019,2007888
6/29/2019,2935847
6/30/2019,2733140
7/16/2019,2444681
12/25/2019,3054
11/28/2020,1872246
3/10/2021,1720191
3/15/2021,1661997
7/31/2021,2117959
9/12/2022,2037436
9/25/2022,2123999
10/24/2022,2009491
2/15/2023,1677501
9/6/2018,2006295
9/13/2018,2023191
2/25/2019,2150845
10/30/2019,2472293
9/9/2020,1544374
10/25/2020,1615387
3/26/2021,1963145
9/4/2021,2156524
12/26/2021,2194908
6/17/2022,2450923
8/6/2022,2231573
12/21/2022,3277101
1/25/2023,1455674
6/26/2023,1896509
12/29/2023,2143464
10/8/2018,2024670
12/8/2018,2507740
3/27/2019,2226267
6/5/2019,2467417
5/27/2020,2050201
7/19/2020,1563119
1/6/2022,1823001
2/3/2022,1312872
9/5/2022,2077257
6/5/2023,1944115
7/10/2023,1912815
8/17/2023,1830937
2/10/2024,2082708
3/19/2024,1736064
4/1/2024,1791497
7/6/2018,2275184
1/4/2019,2138615
1/15/2019,1838008
4/7/2019,2529574
10/14/2019,2382546
11/17/2020,1701576
10/23/2021,2289808
1/21/2023,2181822
2/10/2023,1935461
2/14/2023,1936178
3/26/2023,1799731
10/8/2023,1857471
10/16/2023,1799173
10/25/2023,1779138
1/28/2024,1760009
9/3/2018,2228068
12/7/2019,3045543
